CP #,RANK,SIGNATURE,CP COORDINATES_X,CP COORDINATES_Y,CP COORDINATES_Z,Rho,|GRAD(Rho)|,GRAD(Rho)x,GRAD(Rho)y,GRAD(Rho)z,Laplacian,(-1/4)Del**2(Rho)),Diamond,Metallicity,Ellipticity,Theta,Phi,EIGENVALUES OF HESSIAN MATRIX_X,EIGENVALUES OF HESSIAN MATRIX_Y,EIGENVALUES OF HESSIAN MATRIX_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Z,EIGENVALUES OF HESSIAN MATRIX_X,EIGENVALUES OF HESSIAN MATRIX_Y,EIGENVALUES OF HESSIAN MATRIX_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV1_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV2_Z,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_X,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Y,EIGENVECTORS (ORTHONORMAL) OF HESSIAN MATRIX (COLUMNS)_EV3_Z,HESSIAN MATRIX_XX,HESSIAN MATRIX_XY,HESSIAN MATRIX_XZ,HESSIAN MATRIX_YX,HESSIAN MATRIX_YY,HESSIAN MATRIX_YZ,HESSIAN MATRIX_ZX,HESSIAN MATRIX_ZY,HESSIAN MATRIX_ZZ
64,3,1,-1.904384,1.036408,-1.447319,0.005084678,2.332429e-13,1.909288e-13,-7.938599e-14,1.079181e-13,0.01985946,-0.004964866,0.0004977496,0.5216967,-3.907594,1.2008516865756675,0.5303988019031992,-0.00331357,0.001139626,0.02203341,0.7464733,0.5727875,0.3386622,0.615651,-0.7876262,-0.02487604,-0.2524906,-0.227067,0.9405791,-0.00331357,0.001139626,0.02203341,0.7464733,0.5727875,0.3386622,0.615651,-0.7876262,-0.02487604,-0.2524906,-0.227067,0.9405791,-9.784754e-06,-0.0007061673,-0.006087787,-0.0007061673,0.0007558685,-0.005326217,-0.006087787,-0.005326217,0.01911338
65,3,-1,-2.078911,1.476307,-1.467885,0.005231524,4.548538e-14,-2.632326e-14,5.408789e-15,3.66981e-14,0.01833354,-0.004583386,0.0005118729,0.5925803,3.239685,0.3651153144565073,0.18355625987379864,-0.003269233,-0.0007711027,0.02237388,-0.943767,0.04848292,-0.3270371,0.06844553,0.9964109,-0.04980391,-0.3234487,0.06938752,0.9436982,-0.003269233,-0.0007711027,0.02237388,-0.943767,0.04848292,-0.3270371,0.06844553,0.9964109,-0.04980391,-0.3234487,0.06938752,0.9436982,-0.0005747712,-0.000405144,-0.007835767,-0.000405144,-0.0006655404,0.001555163,-0.007835767,0.001555163,0.01957385
66,3,-1,-2.261916,-1.590181,4.81296,0.2676157,1.725292e-13,-1.471578e-13,-7.102652e-14,-5.53727e-14,-0.8768164,0.2192041,1.233618,-8.734213,0.01478369,0.8622143188497652,0.8585866534889866,-0.7009655,-0.6907536,0.5149028,-0.7637082,0.04285159,0.6441378,-0.2968298,0.8627543,-0.4093251,0.5732729,0.5038043,0.646173,-0.7009655,-0.6907536,0.5149028,-0.7637082,0.04285159,0.6441378,-0.2968298,0.8627543,-0.4093251,0.5732729,0.5038043,0.646173,-0.3004807,0.3485487,0.451639,0.3485487,-0.3847542,0.3922132,0.451639,0.3922132,-0.1915815
67,3,1,-1.209466,-1.222517,0.088588,0.01306054,4.93771e-13,5.557889e-14,4.905051e-13,1.120383e-14,0.07250553,-0.01812638,0.003530575,0.6884045,-1.274442,1.171885516403003,1.0882342011584136,-0.008765012,0.03193762,0.04933293,-0.006454573,-0.004865924,0.9999673,0.7112189,0.7029249,0.008011256,-0.702941,0.7112474,-0.001076343,-0.008765012,0.03193762,0.04933293,-0.006454573,-0.004865924,0.9999673,0.7112189,0.7029249,0.008011256,-0.702941,0.7112474,-0.001076343,0.0405314,-0.008698322,0.0002758709,-0.008698322,0.04073647,0.0001847325,0.0002758709,0.0001847325,-0.008762333
68,3,-1,-1.675076,-2.530553,0.069384,0.3062824,8.138303e-10,-3.172497e-10,-7.494318e-10,-4.938283e-12,-0.8123636,0.2030909,0.879852,-11.805,0.1964333,0.9137556641775044,0.8699471358757781,-0.6547096,-0.5472178,0.3895638,0.3077807,0.9513441,-0.0146768,-0.003298277,0.01649232,0.9998586,0.9514516,-0.3076888,0.008213816,-0.6547096,-0.5472178,0.3895638,0.3077807,0.9513441,-0.0146768,-0.003298277,0.01649232,0.9998586,0.9514516,-0.3076888,0.008213816,0.2906307,-0.3057179,0.00780656,-0.3057179,-0.5558165,-0.0008666523,0.00780656,-0.0008666523,-0.5471778
69,3,1,-1.190505,1.395043,0.020527,0.01336269,3.784992e-12,3.778016e-12,1.036186e-13,-2.049829e-13,0.07445016,-0.01861254,0.003749482,0.6964729,-1.280458,1.1757483162730356,1.083763252284429,-0.008951278,0.03191661,0.05148482,0.06829692,0.02247183,0.9974119,-0.6982004,0.7152005,0.0316951,-0.7126372,-0.698558,0.06453583,-0.008951278,0.03191661,0.05148482,0.06829692,0.02247183,0.9974119,-0.6982004,0.7152005,0.0316951,-0.7126372,-0.698558,0.06453583,0.04166374,0.009678696,-0.003683882,0.009678696,0.04144493,-0.001798174,-0.003683882,-0.001798174,-0.008658514
70,3,1,-1.385327,2.035567,-1.511281,0.004600134,1.127098e-15,-3.141357e-16,-9.857736e-16,4.471233e-16,0.01826142,-0.004565355,0.0003842543,0.4801343,-2.874638,1.2293583916468176,0.6308171926414154,-0.002450376,0.001307119,0.01940468,-0.1443998,0.8833791,-0.4458588,0.9893847,0.1214595,-0.0797836,0.01632538,0.4526466,0.8915405,-0.002450376,0.001307119,0.01940468,-0.1443998,0.8833791,-0.4458588,0.9893847,0.1214595,-0.0797836,0.01632538,0.4526466,0.8915405,0.001233594,0.0006130395,2.149038e-05,0.0006130395,0.002082915,0.008783256,2.149038e-05,0.008783256,0.01494491
71,3,3,-1.335072,1.442535,-1.247933,0.003821898,3.680314e-14,2.67178e-14,-4.143365e-15,-2.496923e-14,0.01793546,-0.004483865,0.0001398154,0.3589488,-0.140332,,,0.003377699,0.003929074,0.01062869,-0.06008221,0.969694,-0.2368198,0.9954643,0.07573907,0.05757134,-0.0737631,0.2322867,0.9698463,0.003377699,0.003929074,0.01062869,-0.06008221,0.969694,-0.2368198,0.9954643,0.07573907,0.05757134,-0.0737631,0.2322867,0.9698463,0.003963536,-8.266854e-05,-0.000487128,-8.266854e-05,0.003772104,0.001635924,-0.000487128,0.001635924,0.01019982
72,3,-1,-0.815564,-3.464138,0.1082,0.2783705,3.840865e-12,-3.134929e-12,2.188115e-12,-3.696192e-13,-0.6635995,0.1658999,0.7272616,-12.32383,0.1468508,0.8729002616924737,0.838992499367656,-0.5678884,-0.495172,0.399461,0.9619874,0.2730595,0.004337333,-0.01656864,0.04250357,0.9989589,0.2725908,-0.9610577,0.04541212,-0.5678884,-0.495172,0.399461,0.9619874,0.2730595,0.004337333,-0.01656864,0.04250357,0.9989589,0.2725908,-0.9610577,0.04541212,-0.4959888,-0.2534731,0.01077119,-0.2534731,0.3257178,-0.03913118,0.01077119,-0.03913118,-0.4933284
73,3,-1,-0.450371,1.790263,-2.966419,0.2673796,2.599629e-16,-2.173012e-16,-7.891637e-17,-1.188828e-16,-0.8702151,0.2175538,1.249553,-8.787531,0.007453633,0.8570695453010486,0.855231610554638,-0.7003212,-0.6951399,0.525246,0.636406,-0.5094092,0.5792147,-0.5415795,0.2396023,0.8057806,-0.5492532,-0.8264944,-0.1234013,-0.7003212,-0.6951399,0.525246,0.636406,-0.5094092,0.5792147,-0.5415795,0.2396023,0.8057806,-0.5492532,-0.8264944,-0.1234013,-0.3290735,0.5556797,0.08080606,0.5556797,0.1371527,0.1259965,0.08080606,0.1259965,-0.6782943
